FID,name,latitude,longitude
407,Mart 1 Cauayan,16.9393005,121.7689972
408,Puregold Jr. Biñan,14.3294001,121.0759964
409,Puregold Jr.,16.9367008,121.7740021
410,Amie's,16.9365005,121.7740021
411,Sanitary Mart,16.9353008,121.7740021
412,CSI,15.8113003,120.4570007
413,Sun Xi ""Mini-Store"",9.7119999,123.3820038
414,Baloc Market,15.6413002,120.8870010
415,CVC Supermarket,15.5837002,120.9199982
416,Mart One,17.6119003,121.7289963
417,Rempson Supermarket,14.5595999,121.0839996
418,Gemmaglenn,14.1155996,122.9570007
419,IP Bombase Store,14.1173000,122.9560013
420,abandoned building,14.6056004,121.0189972
421,LCC,14.1170998,122.9560013
422,Puregold,14.4649000,120.9680023
423,Savemore Market,14.5149002,121.2399979
424,Choice Mart,7.0722499,125.5479965
425,Bagong Pagasa Wet Market,14.6613998,121.0339966
426,Puregold,13.6232004,123.1839981
427,Puregold Jr.,14.5373001,121.0680008
428,Sunrise Saver Supermarket,13.5832005,124.2340012
429,Magcalas Store,14.9617996,120.6330032
430,KOKOY'S GROCERETTE,11.2420998,125.0029984
431,Grocery Robins,11.0053997,124.6100006
432,Mercy Grocery,11.0080004,124.6070023
433,Season Grocery,11.0066996,124.6100006
434,Market Place,17.5622997,121.6969986
435,Puregold,14.3283997,120.9339981
436,Savemore - Marulas,14.6743002,120.9830017
437,BizMart,14.8513002,120.2620010
438,Wellcome Supermarket,14.6243000,121.0319977
439,OJN Supermarket,7.1096401,125.6320038
440,Puregold Southgate,14.5409002,121.0189972
441,Puregold,13.9642000,121.3209991
442,Benguet Supermart,16.4125996,120.5970001
443,Johnny's Supermarket,15.1353998,120.5899963
444,Puregold Lanang,7.1145101,125.6529999
445,Savemore,14.4224997,120.9420013
446,Ultramega Supermarket,14.0965996,120.9169998
447,Gaisano Supermarket,10.6592999,122.9400024
448,RDM Mart,12.8450003,120.7789993
449,St. Blaise Grocery & Bakeshop,7.2776399,124.4229965
450,Shopwise,14.2503004,121.0650024
451,Ka Martin Grocery,14.1360998,120.9560013
452,Puregold,14.6786003,120.5400009
453,Savemore Market,14.6230001,121.0559998
454,Super 8,14.6665001,121.0429993
455,Robinson's Supermarket,14.6459999,121.0970001
456,"Puregold, Jr.",14.6908998,120.9629974
457,7- Eleven,10.6619997,122.9660034
458,Subic Savers,14.8774004,120.2350006
459,Pableo Poultry Supply,14.8778000,120.2340012
460,Mayden Clark Trading,14.8778000,120.2340012
461,Vercons  Supermarket,14.8771000,120.2340012
462,Assi Mart,10.3211002,123.9110031
463,Alcoben Trading,14.6978998,121.1090012
464,Needs Groceries,14.2240000,120.9710007
465,Yamazaki,14.5535002,121.0139999
466,Jr Gaisano,6.9570098,126.0120010
467,Metro Wholesale Mart,10.2971001,123.8990021
468,SM Hypermarket,14.6856003,120.9769974
469,Hanaro Korean Grocery,15.1771002,120.5159988
470,Rustan's Supermarket,10.3099003,123.8750000
471,Robinsons Supermarket,9.3075800,123.3079987
472,LB Supermarket,6.9279499,122.0780029
473,Emay's Minimart,14.8410997,120.8659973
474,Franie's Store,11.3071003,124.3710022
475,Store,14.8179998,121.1679993
476,Traders Superstore,8.5853596,123.3420029
477,Puregold,14.3973999,121.0449982
478,Ever Supermarket,14.5439997,121.0680008
479,Savemore Consolacion,10.3802004,123.9649963
480,JK Salazar Grocery,6.7877898,125.2129974
481,Gaisano Grand Tibungco,7.1960001,125.6470032
482,Great Wall,9.3643103,122.8079987
483,Victoria Supermarket,16.4144993,120.5970001
484,Iceland,14.8762999,120.2320023
485,South Emerald,13.9612999,121.5999985
486,Boongaling Minimart,13.9303999,121.4459991
487,Puregold Pagsanjan,14.2649002,121.4400024
488,Gaisano Supermarket,6.1179399,125.1849976
489,CELBERT Merchandising,14.2223997,120.9729996
490,Grandma's Mini-mart,14.8739004,120.8219986
491,Everwin Mart,14.8431997,120.8130035
492,Citymart,14.8671999,120.8209991
493,Puregold,14.8287001,120.8850021
494,Robinsons Supermarket,14.8802996,120.8669968
495,Puregold,14.8762999,120.8629990
496,Meat & Fish Section,14.9111996,120.7669983
497,Holiday Supermart,16.4225998,120.5910034
498,Puregold - Bangued,17.5911999,120.6179962
499,Robinsons Supermarket,10.6962996,122.5449982
500,His and Her’s Grocery,14.9120998,120.7669983
501,Bilan’s Supermarket,14.9066000,120.7679977
502,Daily Supermarket,14.6210003,121.0640030
503,Gaisano Savers Mart,10.2902002,123.9680023
504,5 Cents Up Supermart,16.4137001,120.5970001
505,T.P Baldoza,11.2163000,123.1090012
506,Zuñiga Supermarket,14.7293997,121.1429977
507,OK 7 Convenient store,15.2214003,120.5749969
508,Robinsons Supermarket,14.5409002,120.9889984
509,Good Will Supermarket,14.2580996,121.3970032
510,Puregold,14.2073002,121.0979996
511,Greenville,6.0871401,125.1320038
512,Robinsons Supermarket,14.4428997,120.9980011
513,Robinsons Easymart,14.4343004,121.0439987
514,TSF Mart,13.9637003,121.5260010
515,Ongville,13.9635000,121.5260010
516,Zafeway,12.3990002,121.9820023
517,Super8,14.0697002,121.3229980
518,Robinsons Selections,14.5510998,121.0439987
519,Puregold Jr. (Jeepney Market),14.6897001,120.9739990
520,Supersaver Grocery,11.7767000,124.8840027
521,Supersaver Grocery,11.7777004,124.8830032
522,Save More Market,14.5305996,121.1539993
523,Isetann Supermarket,14.6229000,121.0530014
524,Robinson Supermarket,14.2423000,121.1309967
525,SM Hypermart,14.5637999,121.0220032
526,7 Eleven San Agustin Branch,10.6993999,122.5619965
527,Robinson's Supermarket,14.3191996,121.0960007
528,Shopwise,8.4817400,124.6579971
529,Robinsons Supermarket,14.5949001,121.1729965
530,Lester Lace Grocery,11.7747002,124.8820038
531,Alfonso's Store,14.1850996,121.5120010
532,Superama,7.2005501,124.2379990
533,Ever Supermarket,14.7086000,120.9459991
534,Ultra Mega,13.8774004,121.2129974
535,RBM Grocery Store,14.8521004,120.2539978
536,Puregold,7.2220502,124.2490005
537,Puregold Lipa,13.9442997,121.1669998
538,TT and Company,9.7837696,125.5009995
539,Dumoy Rice Trader,7.0403500,125.5260010
540,Maan's Bakery,7.0412998,125.5270004
541,UniMakerSales,6.9470801,122.0999985
542,Walter Mart - Serin,14.1135998,120.9589996
543,Metro Supermarket,14.5889997,121.0370026
544,Robinsons Supermarket,14.6869001,120.9960022
545,Wilson Marketing,11.2454996,124.9990005
546,M.Y. Supermarket,11.2456999,124.9990005
547,Magic Supermarket,15.9202995,120.4130020
548,City Stop,11.2409000,125.0019989
549,Rustan's Fresh,14.5623999,121.0159988
550,Rustan's Supermarket,10.3169003,123.9059982
551,Rustans,14.3922997,121.0159988
552,Super 8,14.5302000,120.9970016
553,Gaisano Grand Mall Talamban,10.3666000,123.9140015
554,Gaisano Country Mall,10.3396997,123.9110031
555,Ever Supermarket,14.6255999,121.1389999
556,Super 8,14.6020002,120.9879990
557,King One General Merchandise,14.6955996,121.1190033
558,Allisons,14.3955002,120.9680023
559,Robinsons Supermarket,14.7648001,120.9929962
560,Ever Supermarket,14.4665003,121.0210037
561,Fisher Supermarket,14.6339998,121.0199966
562,Puregold Jr.,14.5319996,120.9970016
563,Savemore,14.5323000,120.9940033
564,Savemore Market,14.3613997,121.0569992
565,Rustan's,14.5976000,121.0370026
566,Puregold,14.6051998,121.0230026
567,Sun Mart Supermarket,6.0784402,125.1520004
568,Wang-Lai Mart,14.6379004,121.0009995
569,The Green Company Organic + Natural,14.6393995,121.0009995
570,Jia Bao Mini Mart,14.6331997,121.0019989
571,ZMJ,10.8275995,119.5159988
572,Iceland,14.8772001,120.2340012
573,RGS Ice Plant -  subic,14.8978004,120.2419968
574,"Absolute Essentials Traders, Inc.",9.7894802,125.4929962
575,Lensing's Enterprises,11.1594000,124.9899979
576,Rustan's,14.5654001,121.0370026
577,Puregold,14.4390001,120.9489975
578,Citimart,13.7585001,121.0569992
579,SM Supermarket,13.7560997,121.0690002
580,Excel Tom's Supermarket,13.7586002,121.0569992
581,Prince Warehouse,9.1222401,125.5339966
582,Walter Mart Supermarket,14.0745001,121.1500015
583,TGP,8.9474297,125.5400009
584,Libe's Store,11.1646004,124.0260010
585,Tiya Cording Store,11.1644001,124.0339966
586,MYL Store,9.6092196,124.2040024
587,Taboan,9.7887201,123.3519974
588,Ministop,14.4436998,120.9240036
589,CK Supermarket,14.4203997,120.9250031
590,Parkway Supermarket,9.7719498,125.4840012
591,Gaisano Capital Supermarket,9.7640400,125.4840012
592,Amlan Paradise Supermart,9.4564199,123.2310028
593,SM Savemore,14.2070999,121.0230026
594,Princess Abigail Store,9.2916498,123.2689972
595,Puregold Calasiao,16.0216999,120.3529968
596,Coop St. Joseph,16.1965008,121.2399979
597,RO Supermart,16.3875008,121.1080017
598,Savemore Market,14.2069998,121.0230026
599,Eleven Twelve,14.5670004,121.1880035
600,The Marketplace,14.5516996,121.0479965
601,Savemore,14.3991003,120.9390030
602,NCCC Supermarket,7.0754199,125.6210022
603,R. Lapid's Chicharon,16.4095993,120.5920029
604,Blue Fields Mart,10.8253002,122.5319977
605,Super K,10.8224001,122.5289993
606,Kimsan Department Store,6.6887102,124.6750031
607,Gaisano Supermarket,10.7164001,122.5459976
