FID,amenity,name,latitude,longitude
271,restaurant,Apartment 1B,14.5590000,121.0220032
272,restaurant,Cafe Alfonso,14.5592003,121.0220032
273,restaurant,Gonzo Grill and Restaurant,14.5592003,121.0220032
274,restaurant,North Park,14.5591002,121.0220032
275,restaurant,Bento box,14.5595999,121.0199966
276,restaurant,KFC,14.5600996,121.0199966
277,restaurant,Lugaw Ni Bossing,11.0045996,124.6110001
278,restaurant,Andoks,11.0033998,124.6100006
279,restaurant,Gutierrez Catering & Function House,7.0790601,125.5459976
280,restaurant,Matutina's,15.4757004,120.5960007
281,restaurant,Cafe Margarita,16.2248001,120.4720001
282,restaurant,Natalna,16.5795994,120.3150024
283,restaurant,Perfect Loaf,15.1345997,120.5879974
284,restaurant,Bellini's,14.6225004,121.0569992
285,restaurant,Mandarin,7.0503898,125.5879974
286,restaurant,Mang Inasal,7.0492601,125.5879974
287,restaurant,Bigby's Cafe,7.0503101,125.5879974
288,restaurant,Pizza Hut,7.0501900,125.5879974
289,restaurant,Yellow Cab,7.0501299,125.5879974
290,restaurant,Greenwich,7.0502601,125.5879974
291,restaurant,Mandarin,7.0781102,125.6139984
292,restaurant,Lucky Rainbow,14.5479002,121.0139999
293,restaurant,Patpat's Kansi,14.5660000,121.0090027
294,restaurant,Conti's,14.5497999,121.0540009
295,restaurant,Gary's Restaurant,14.5784998,120.9869995
296,restaurant,Hizon's,14.5789003,120.9820023
297,restaurant,LGA Froglegs,14.6014996,120.9769974
298,restaurant,Mister Kebab,14.6409998,121.0260010
299,restaurant,LZM Restaurant,14.2293997,120.9710007
300,restaurant,Hap Chan,14.5353003,121.0469971
301,restaurant,Razon's,14.5352001,121.0479965
302,restaurant,Bacolod Chicken Inasal,14.5349998,121.0479965
303,restaurant,Elysee's Restaurant & Coffee Club,7.1111598,125.6500015
304,restaurant,Boiling Crabs and Shrimps,7.0995498,125.6259995
305,restaurant,Dimsum Diner,7.0968399,125.6179962
306,restaurant,La Piscine Grill & Cafe,7.0905099,125.6159973
307,restaurant,Cook Book,15.0853004,120.6350021
