FID,name,latitude,longitude
275,SCML Tricycle Terminal,14.8226004,120.9530029
276,Genesis (Pasay City),14.5362997,121.0009995
277,Bus Station,14.2868004,122.6940002
278,Quiapo-Megamall,14.6025,120.9860001
279,Morayta,14.6049995,120.9869995
280,Morayta - Fairview,14.6044998,120.987999
281,Morayta - Project 6,14.6046,120.987999
282,Norzagaray - Sta. Maria JODA,14.8219004,120.9609985
283,Valley Golf Shuttle Station,14.5833998,121.1299973
284,Shuttle Station,14.5899,121.1409988
285,Valley View Phase 1-ABCD Shuttle Station,14.5971003,121.1350021
286,Valley View Phase 1&2 Shuttle Station,14.6000004,121.1360016
287,Philtranco - Subic Terminal,14.8933001,120.237999
288,BGC - Ayala Terminal,14.5493002,121.0289993
289,V-hire terminal,10.3079004,123.7089996
290,Middle Quirino Hill Jeepney Station,16.4288006,120.5920029
291,Ceres Liner - Carles Terminal,11.5573997,123.1600037
292,UV Express,14.4883003,121.0439987
293,Aleosan Passenger Terminal,10.7403002,122.5169983
294,Northern Iloilo Jeepney & Bus ungka Terminal,10.7461996,122.5390015
295,Mohon Southern Jeepney & Bus Terminal,10.6928997,122.5
296,Iloilo Airport Passenger Terminal,10.8223,122.5289993
297,Bus Stop,10.8192997,122.5299988
298,Tagaytay-Calamba and Tagaytay-Alabang pickup pt,14.1211004,120.9599991
299,Victoria Jeepney Terminal,15.5777998,120.6849976
300,UV Express,14.5939999,121.1719971
301,PUJ Cubao,14.5639,121.1330032
302,UV Exp - Market Market,14.5897999,121.0970001
303,Arandia Bus Terminal,13.1127005,123.4700012
304,Bus Terminal,11.4687996,123.0950012
305,A. Arandia Line - Pio Duran Terminal,13.0295,123.4440002
306,UV Express (Pasig-Quiapo),14.5770998,121.0589981
307,Viron,16.0037994,120.6699982
308,Solid North - Asingan Terminal,16.0039005,120.6699982
309,Burgos Terminal,9.2421799,126.1719971
310,"Barangay Tina Transport terminal, San Miguel, SDS",8.9422102,126.0410004
311,GVOA Terminal,9.7622004,124.4889984
312,Belance-BambangTerminal,16.1968002,121.2389984
313,Malabanan Jeepney Terminal,13.9705,121.1660004
314,Terminal,10.9765997,124.8939972
315,Padada Transport Terminal,6.6399999,125.3450012
316,Del Carmen - Santa Maria Terminal,14.8841,121.0149994
317,Superlines - Jose Panganiban Terminal,14.2860003,122.6940002
318,First North Luzon Transit - Caloocan Station,14.6538,120.9840012
319,Van/Taxis To Cagayan De Oro Or Iligan,8.6080399,124.4580002
320,Passenger Van Station,13.9378004,120.7289963
321,Bataan Transit Bus Terminal,14.4349003,120.487999
322,Tubod Integrated Terminal,8.0446701,123.7969971
323,Tagbilaran -  Panglao Bus Terminal,9.6412096,123.8580017
324,Pikit Bus Station,7.0560899,124.6780014
325,Van Van's Terminal,11.6094999,125.4329987
326,Grand Tours,12.4990997,124.6389999
327,BGC - Market! Market! Terminal,14.5488997,121.0559998
328,Antipas Transport Terminal,7.2434301,125.052002
329,Escalante Public Transport Terminal,10.8332005,123.4929962
330,Terminal Complex,9.3722401,122.8150024
331,Maug Tricycle Terminal,8.9807997,125.5299988
332,Martesan Bus and Tricycle Terminal,10.9569998,123.197998
333,Svoda terminal (minivan),12.8443003,120.7779999
